YEAR,WEEK,ILITOTAL,TOTAL PATIENTS
2012,1,1083,45932
2012,2,1164,59713
2012,3,1093,51579
2012,4,1497,62467
2012,5,1651,62148
2012,6,1541,66442
2012,7,1590,63655
2012,8,1570,54863
2012,9,1596,63345
2012,10,1169,56975
2012,11,1333,55116
2012,12,1359,54893
2012,13,1724,53855
2012,14,1505,58135
2012,15,1244,47714
2012,16,972,48195
2012,17,1214,58724
2012,18,1261,57391
2012,19,1178,56677
2012,20,1059,54779
2012,21,1006,50712
2012,22,819,40741
2012,23,781,47525
2012,24,692,46011
2012,25,699,45181
2012,26,604,43015
2012,27,539,35779
2012,28,535,42468
2012,29,542,42082
2012,30,578,41504
2012,31,608,40740
2012,32,620,42868
2012,33,387,34874
2012,34,654,41355
2012,35,749,47259
2012,36,734,40904
2012,37,820,49184
2012,38,889,49811
2012,39,868,48313
2012,40,1142,82494
2012,41,1167,79938
2012,42,1310,85981
2012,43,1267,80822
2012,44,1297,81557
2012,45,1413,84565
2012,46,1364,78668
2012,47,1108,60145
2012,48,1481,85512
2012,49,1509,85434
2012,50,1667,81938
2012,51,1808,71168
2012,52,1755,53617
2013,1,1852,63312
2013,2,2651,85698
2013,3,3703,90604
2013,4,4245,83583
2013,5,4001,87984
2013,6,3282,75074
2013,7,2929,73018
2013,8,2329,69443
2013,9,2087,65968
2013,10,2004,64767
2013,11,1695,60808
2013,12,1388,56027
2013,13,1196,55257
2013,14,1022,54895
2013,15,1013,61169
2013,16,852,56618
2013,17,884,60128
2013,18,857,57314
2013,19,768,55730
2013,20,776,53194
2013,21,656,51766
2013,22,562,45389
2013,23,628,49999
2013,24,578,44604
2013,25,565,46004
2013,26,492,45144
2013,27,394,38151
2013,28,407,44084
2013,29,414,43746
2013,30,444,44397
2013,31,406,43290
2013,32,419,42089
2013,33,430,43930
2013,34,390,45893
2013,35,537,45139
2013,36,486,37503
2013,37,583,44135
2013,38,576,42761
2013,39,644,39986
2013,40,972,87538
2013,41,1192,89122
2013,42,1140,85648
2013,43,1154,89959
2013,44,1302,89120
2013,45,1524,90752
2013,46,1381,85397
2013,47,1484,89509
2013,48,1222,62686
2013,49,1621,88253
2013,50,1773,84826
2013,51,2127,82835
2013,52,2161,58333
2014,1,2536,67849
2014,2,3129,90477
2014,3,3298,92034
2014,4,3333,86587
2014,5,3226,93786
2014,6,2810,90576
2014,7,2437,89434
2014,8,2069,82879
2014,9,2064,87352
2014,10,1754,83343
2014,11,1492,81074
2014,12,1452,80009
2014,13,1193,79003
2014,14,1094,71389
2014,15,1125,74505
2014,16,1123,70835
2014,17,1010,71038
2014,18,1012,69113
2014,19,1001,68091
2014,20,1022,67315
2014,21,1013,65705
2014,22,856,58104
2014,23,829,60237
2014,24,796,59348
2014,25,684,58235
2014,26,717,62404
2014,27,620,52982
2014,28,619,61892
2014,29,622,60341
2014,30,542,59617
2014,31,510,60721
2014,32,445,59120
2014,33,457,58714
2014,34,505,62115
2014,35,624,62301
2014,36,618,55341
2014,37,811,64318
2014,38,867,64708
2014,39,786,59431
2014,40,1329,88772
2014,41,1380,89381
2014,42,1365,92669
2014,43,1344,94908
2014,44,1303,89098
2014,45,1591,92126
2014,46,1422,84771
2014,47,1720,93339
2014,48,1399,64249
2014,49,1810,93190
2014,50,1896,88551
2014,51,2030,82565
2014,52,1903,49507
2014,53,2457,56302