"(M, N)",RMSE,[Coefficients],[Predicted Values]
"(4, 2)",225.0914992102455,"[0.08730958513379072, -0.008958470059499827, 0.01824491677997471, -0.042912464817935786, -0.1241312851003554, 1.1146774248539535]","[1818.9065447132793, 1963.3838297273142, 1980.9502201154744, 1882.448790072232, 1779.3474430375575, 1544.8854432983812, 1796.7662307697458, 1366.9718502422757, 1305.5224661964867, 1169.1270472791805, 1116.570016990374, 1164.8964423227476, 1079.2869564933253, 1104.2814382143365, 974.2093469713132, 971.8455371503371, 1027.9232526332376, 1135.8528283253963, 1162.5252473311389, 1115.569786075503]"
"(4, 3)",219.8793687575924,"[0.0732780457237551, 0.05378931092386821, -0.01854262537295095, 0.09523876426088451, -0.13013459674866218, -0.15300885138482695, 1.1482111445314895]","[1788.7877086043645, 1944.28925101223, 1957.2040281335953, 1871.2516694944657, 1767.0067145018302, 1506.3440890496659, 1758.451943305229, 1538.2223782482156, 1265.0107994922569, 1194.166497092849, 1098.7767552762432, 1143.5336970408935, 1058.253631238087, 1056.4257417103793, 1034.323826278868, 958.9297129563784, 992.5517545236657, 1146.161168098689, 1165.5328965228473, 1081.096713369403]"
"(4, 4)",214.76652306158647,"[0.04926736832526772, 0.05727092842665257, 0.04307859602644835, -0.01585452803756026, 0.1141180542827833, -0.16259467018611085, -0.17252982468938166, 1.1749579555656182]","[1766.5859668535884, 1920.599108877595, 1940.9908546024574, 1838.9839930802837, 1763.273730141768, 1496.8295823771816, 1726.8141308838315, 1521.7794818783302, 1361.7201927799908, 1172.9399243716916, 1106.1302351814425, 1127.0939384870235, 1038.7801725706572, 1032.4353996489467, 1008.8346819222965, 997.968938503746, 978.6335325561586, 1122.4458530736665, 1172.3444169947447, 1076.0863042589294]"
"(4, 5)",208.143403034381,"[0.029128032569348025, 0.04241466247806934, 0.05800529461349688, 0.043804034655733806, -0.016473799868640525, 0.11033638407801016, -0.17594108387973545, -0.1516338185801316, 1.1641464755517754]","[1763.852117821702, 1899.4015835536368, 1921.339210675246, 1825.1430941704857, 1745.1020539608112, 1494.5642850086851, 1720.9040078601797, 1519.4684677989223, 1352.75622478351, 1231.811088014124, 1089.5534303337636, 1126.0979384940897, 1025.1054936647852, 1017.8774845281991, 1000.1697059765817, 982.0482738137742, 997.0477626098594, 1111.9476389520141, 1156.6300043528304, 1076.3261538056795]"
"(4, 6)",215.55788983258543,"[-0.011905768689410689, 0.024854788430904245, 0.04098073278046557, 0.05837663278716379, 0.044517094934618875, -0.016458772035331696, 0.12142848610349086, -0.19638881208194214, -0.11917203210711674, 1.1455855057542532]","[1899.3711263039654, 1935.5176029921788, 1835.9941420075972, 1753.893203970634, 1503.9891274948643, 1718.9098969491656, 1525.6901981702, 1346.9445994283385, 1221.3635500331516, 1066.5969846758433, 1130.7511049574364, 1029.1431690226227, 1026.1195146028708, 1007.6747807326346, 984.3137135834345, 997.4621680955078, 1103.7105096835403, 1162.075068083327, 1081.585593007744]"
"(4, 7)",219.1412619126325,"[0.009963367982075266, -0.013868670854294678, 0.02470893142435794, 0.04148190059285636, 0.05725662406651771, 0.04474756438277809, -0.015814411353016495, 0.11845920310962338, -0.190557448509803, -0.12548842624088957, 1.1467858221209182]","[1933.790085962153, 1830.1578427084446, 1747.1330224270675, 1500.2392741442686, 1713.8026506078618, 1522.1194095788833, 1347.7736886317919, 1218.852782958245, 1065.5163206470706, 1151.3558595113645, 1024.2491781883464, 1026.493726935251, 1001.6150761422341, 979.8850926719618, 994.3823575173326, 1098.4009977709059, 1167.589313682759, 1077.712925129522]"
"(5, 0)",236.72279163408854,"[-0.022604496093427684, 0.1264286825764785, -0.24613440062797334, 0.021014309348183324, 1.1236326938221946]","[2003.9836196801964, 2034.061465210032, 1896.8449990391807, 1805.2299070255817, 1553.7036429427026, 1614.033041779369, 1449.1125822720228, 1287.9046410149729, 1227.3146725982933, 1161.180130125243, 1197.5329740389027, 1125.1749402535575, 1044.3995860971606, 1008.4890419053598, 1017.0639358267241, 1032.9987860445506, 1153.5028466464312, 1223.6697403672372, 1154.6329299629858]"
"(5, 1)",219.20116126580913,"[0.05081452043811389, -0.06233185613440467, 0.1861922247304061, -0.29375273029405485, 0.09808298888685957, 1.0467661383340983]","[1966.30325894207, 2014.9532921912269, 1865.9426822102207, 1807.2579639002074, 1650.3056250123725, 1563.2645287757357, 1444.6748017179766, 1239.5740626856102, 1199.6577318643558, 1132.2105093404637, 1168.7111288216406, 1149.5947125581451, 1017.2507785709038, 981.9247260234052, 1010.0335109320185, 1016.6742831243262, 1113.410379263954, 1194.298923553604, 1128.0465351419089]"
"(5, 2)",228.04712168978438,"[0.08699997033131769, -0.008321165824662392, 0.0041920131980093985, 0.016152048396272836, -0.06472410540486358, -0.0714597754610524, 1.0808366352114904]","[1953.0664276554407, 1980.8483882503365, 1881.7483491567903, 1777.6305991432912, 1548.9031974868506, 1787.1305437843469, 1372.0794802377936, 1302.926432216832, 1167.6376247858823, 1114.637690257904, 1160.8804226021994, 1080.1827301615385, 1102.052908463555, 971.819556989501, 968.6972194421813, 1025.2595854300976, 1129.5209787698618, 1159.7769415341058, 1114.874108160681]"
"(5, 3)",221.11286864104872,"[0.07575904609132506, 0.050312382089425275, -0.01599706371598921, -0.06613206746300115, 0.18772911399177042, -0.16934306753171544, -0.11984531927023068, 1.1222426344133942]","[1926.3482826164397, 1956.1325740803104, 1852.2073140129548, 1773.2083039711733, 1512.3336964175573, 1742.2880752634915, 1547.1471633057413, 1244.8657100337405, 1202.866574489097, 1088.6013854346388, 1136.9795110471978, 1056.6402010415927, 1049.1946430688738, 1040.0234712125923, 956.9509847555405, 988.6269175152768, 1140.2490828332334, 1165.7175485973698, 1079.4677880212932]"
"(5, 4)",217.59846707892711,"[0.04513061689072147, 0.05946751937827685, 0.04240783863760957, -0.014623357983823687, -0.027192345231487114, 0.15209558491708813, -0.18721811665324173, -0.1311995980998831, 1.1451048889549147]","[1909.8455222187745, 1941.909651706976, 1832.9955492647173, 1765.5505626044971, 1502.3027592964877, 1717.8985722954492, 1528.9528053019033, 1343.6149386940892, 1177.7722773040055, 1100.1661594450222, 1123.7496755699435, 1040.1974265612912, 1030.3611556699357, 1012.1584598638309, 992.3684967040303, 976.9249049242359, 1118.793581165434, 1170.5414902057519, 1075.5724828879474]"
"(5, 5)",212.76871128001065,"[0.02200253538221862, 0.04041071680216613, 0.05960617301627432, 0.04319973919733954, -0.015291183434539567, -0.02043700202458773, 0.14009714362761655, -0.19455539216495338, -0.11675561182577297, 1.1383908624493932]","[1894.9877817096867, 1927.0243946997657, 1824.1127671559743, 1751.1059279550554, 1500.0807533243708, 1714.370989902918, 1526.3246831928539, 1339.6520647825203, 1221.1115204685057, 1088.6525868695542, 1123.3409438843696, 1029.8904396007101, 1019.7855042325755, 1004.6956003565258, 980.7772299010903, 990.9984423022809, 1110.9729729380533, 1158.603723180533, 1075.8509929332624]"
"(5, 6)",215.00348152030807,"[-0.011785764238453683, 0.0244253007875573, 0.04032307019786745, 0.05943522763494548, 0.04372713849978244, -0.015972442147280344, -0.019380599995605603, 0.14733565508237884, -0.20073205943526842, -0.12421699035604329, 1.1472742042972812]","[1897.8013863602982, 1935.6383802446026, 1831.5207115942092, 1756.3005629780514, 1504.61454828357, 1717.5157811979968, 1527.3679161085925, 1340.648365284332, 1223.6924400520443, 1064.6413739571904, 1130.183348873939, 1028.9147022435304, 1025.151644552694, 1010.4567649760186, 984.182999627651, 996.9289930189672, 1104.3848280491916, 1162.9436573885428, 1081.2773737857801]"
"(5, 7)",218.23693092593712,"[0.01160230063695341, -0.014014242196869916, 0.024037498189339482, 0.04057493623776856, 0.058665254720802834, 0.04359791995447212, -0.014977697025375925, -0.029160099375444726, 0.15694537805074665, -0.1961126305340991, -0.13413450360052995, 1.1495262694571133]","[1933.6870428378834, 1822.470028936387, 1749.6452011218025, 1500.5631995510207, 1710.8697554528435, 1524.0533619205667, 1338.4392850579402, 1221.9399593240253, 1062.3900482915603, 1153.89212999641, 1023.0988433259852, 1025.1027327782308, 1004.8061199373028, 978.9606438653099, 993.0730151644357, 1098.5405542432368, 1169.803094042642, 1076.6128793077496]"
"(6, 0)",243.2492443004333,"[0.1952884976875861, -0.275475323405145, 0.16267158917769198, -0.1836754056533974, -0.032402947857258835, 1.1497820486914374]","[2054.2065346036634, 1895.2604358274236, 1852.4383007520955, 1526.6548045718669, 1618.2846941812622, 1443.050539488131, 1294.327300092882, 1265.9437505532019, 1133.500135314351, 1219.5582735664998, 1126.9462963067806, 1052.6118024183302, 1009.7250060740841, 998.5275397410139, 1030.1356291312786, 1153.8975101757003, 1220.6304250927392, 1144.309181886992]"
"(6, 1)",225.93504903751156,"[0.04974616310897259, 0.17391127873548015, -0.28689484484278455, 0.21859541793553725, -0.240141005759173, 0.05054002708281108, 1.0719329210965005]","[2033.9343491906718, 1865.1574730152668, 1849.3367031176563, 1624.2154731376975, 1567.977398063032, 1439.8319596144183, 1245.9974246786926, 1234.8042939535505, 1108.1975945856893, 1189.071629747395, 1150.8664705844828, 1025.0981046490565, 983.6752341488225, 993.774050858322, 1014.6509917231241, 1114.7684051271067, 1192.5612779758362, 1119.5280646289498]"
"(6, 2)",232.8245040084145,"[0.08356772271584237, -0.006605623966343219, 0.09341928693406076, -0.11880729365299708, 0.03875835106687106, -0.041751092064352985, -0.09210934397624418, 1.09279953409878]","[1991.7332252726524, 1880.7544897948237, 1801.3160501034597, 1538.7757307487868, 1781.0219679568706, 1371.8592311586353, 1304.2476355636022, 1187.6308952365548, 1102.4273132389908, 1172.0033952757135, 1083.3646689282637, 1102.9845593352725, 973.0851205800634, 961.4946353963, 1023.6551374876084, 1129.47697207412, 1159.8606947411258, 1110.718351107973]"
"(6, 3)",227.7838074920215,"[0.07807841229739797, 0.04459992839410963, -0.013940114445019747, 0.12502641309160034, -0.23288959674174123, 0.2231889382665552, -0.1417049911078234, -0.14901817304364606, 1.1395167653977092]","[1969.924622833298, 1849.9749587210042, 1804.7683356117836, 1497.6522933480883, 1732.7558659258066, 1552.1959348552125, 1244.869227390891, 1230.6973821378806, 1071.4617493355854, 1151.1304901815656, 1060.1683183287646, 1048.829040066974, 1043.8029046942254, 946.9473104593918, 985.353877504095, 1140.515832434003, 1166.0008218436558, 1072.8188069962835]"
"(6, 4)",223.52572261998554,"[0.04131414329703243, 0.06241264913084604, 0.03918346967817942, -0.013318470438358215, 0.08447615597164167, -0.1432348023000475, 0.17944053889609168, -0.16777408129328167, -0.1495195924618668, 1.154873536237973]","[1952.5778835868223, 1833.0952045147885, 1787.5510183484826, 1493.2925687181373, 1713.3963907426785, 1534.0293182693008, 1335.1668279275011, 1198.741434127549, 1087.6149646821975, 1134.4576822683105, 1044.0467327528772, 1031.6617809050213, 1017.0875361807067, 982.6500725747313, 975.7360264318093, 1120.81021407664, 1170.4082978339939, 1071.4344900454032]"
"(6, 5)",218.9644120777536,"[0.02456118072954789, 0.03566107789888165, 0.0628723394593722, 0.039633506920223605, -0.013840182439016496, 0.09338566282128229, -0.14812797137076728, 0.16993722408636686, -0.17595321815809564, -0.1341519143000779, 1.1485016619505584]","[1937.4829617091561, 1823.1366963541473, 1773.8229748821927, 1490.0258299298434, 1708.6340615481827, 1531.9706870602301, 1329.6188030440012, 1249.4391190430565, 1073.4639728729667, 1135.2019416761955, 1033.146082888194, 1019.862694916779, 1009.3177103121329, 968.7984162250291, 991.4066456425818, 1112.344624628688, 1157.2986864817906, 1071.3762717233378]"
"(6, 6)",220.9083396801982,"[-0.010042354672089228, 0.026435067903577955, 0.03572527247558743, 0.06264368241649523, 0.04023943197689099, -0.014516523823342294, 0.09091876547417937, -0.14375355139527685, 0.17466812710854857, -0.1802165307556166, -0.14096704312075412, 1.1557754790391819]","[1944.3479009889347, 1829.5621058276292, 1777.6757438415325, 1494.0504183777807, 1711.7335713461725, 1532.4835909263038, 1330.9208057224464, 1250.5717803950406, 1053.4522272222575, 1140.670541913138, 1032.1447962057705, 1024.5850810680568, 1014.117079073158, 972.0015637804022, 996.3094672766732, 1106.701671458507, 1160.933948674692, 1076.068750295346]"
"(6, 7)",219.8993641986832,"[0.01159636681772093, -0.012465633168684674, 0.025975539462380508, 0.035988315214005875, 0.061873870593557034, 0.04017622314235168, -0.013586166184747249, 0.09090781247297275, -0.15340338135633194, 0.18379921489609238, -0.17434677334865287, -0.15183634726661982, 1.1581470525047983]","[1942.358895351048, 1820.7191213858387, 1771.1318618142159, 1489.9829690657184, 1705.3883523214215, 1528.9809865113007, 1328.9019067338472, 1248.5701966987233, 1050.846983437624, 1164.435678596019, 1026.239048523403, 1024.7639732493005, 1008.5760798057211, 966.8261190034818, 992.4269537884188, 1100.7570727776679, 1167.773839369792, 1071.4525128263167]"
"(7, 0)",234.12944297432483,"[0.08813230220565538, 0.08559391579889346, -0.28307548698425455, 0.2396151693881521, -0.2242164800502923, -0.05823686485905434, 1.1755256735556705]","[1893.2397790586842, 1851.3345037293927, 1542.0685910089132, 1609.0798369755726, 1442.0837818139912, 1283.0459198749961, 1272.044621149609, 1146.9565487878133, 1207.0088048562843, 1131.997324849503, 1048.3438619218255, 1012.4133792846549, 996.9806444319202, 1019.2798759069232, 1151.405634481863, 1217.8619484249691, 1135.0007580869071]"
"(7, 1)",217.60994307834372,"[0.04937087107945903, 0.07111581702213172, 0.08652898557672506, -0.2972907481147067, 0.2887334756704021, -0.27593585292144035, 0.02441270582614219, 1.0963887211094259]","[1861.8421442177562, 1848.4619030174697, 1635.0723464965788, 1561.2203537594717, 1438.8500283879544, 1235.814067291978, 1240.647352570718, 1118.5837727089013, 1179.1689914777864, 1154.0648522750791, 1021.0764788637664, 985.9444319685377, 992.2048230907475, 1005.6258709943788, 1112.753368807933, 1190.0537427011589, 1110.9365701941424]"
"(7, 2)",227.66020888239095,"[0.08288568868801394, -0.00664500792562446, 0.09564355525686918, -0.026075637509358263, -0.1223887278920143, 0.11162653553613178, -0.08202273036061657, -0.1134723941682472, 1.1171323817415775]","[1881.340466308668, 1800.551473391119, 1556.3719261480414, 1769.402416521437, 1371.7050948471745, 1293.9822216474768, 1194.016014438579, 1118.2345815826661, 1158.8381114865022, 1090.1062291836347, 1099.0629257313087, 976.4821094326322, 960.6131008805257, 1012.4766598263378, 1127.4533032714344, 1158.0659134800449, 1102.6632360644544]"
"(7, 3)",223.90493211643218,"[0.07899188698865346, 0.04273414579258322, -0.013381999910581484, 0.05782194139112069, 0.05650811798917921, -0.2490985813978953, 0.2923919961291246, -0.17821527097637319, -0.17236226067673627, 1.1621504735516508]","[1845.0806331105155, 1804.901515083028, 1506.7401468104158, 1723.344599241975, 1554.4678423042399, 1233.7223321447505, 1237.3139514699167, 1079.095671560794, 1143.1186469471259, 1063.060800135724, 1042.9649561556143, 1046.5751377353845, 945.751725616534, 977.101206970014, 1138.512837257273, 1164.1862955297372, 1064.4944413664996]"
"(7, 4)",220.0803395682127,"[0.04394004914244169, 0.06180420410083814, 0.03749434851688021, -0.01297577934592236, 0.08317647913017716, -0.019986002296482203, -0.14833158185140516, 0.25381603877506037, -0.21110387129644373, -0.17387766673400748, 1.181371911202063]","[1829.6426172386593, 1786.1196098988044, 1507.5156414333542, 1700.8016357639822, 1533.777960206239, 1329.3071824266635, 1203.7377706039874, 1101.3614507379475, 1121.9524542393006, 1048.259367751826, 1025.2907042497459, 1018.6335602278243, 983.8048573453934, 964.6275051432931, 1117.3438832544477, 1168.7094647718675, 1062.467674781837]"
"(7, 5)",216.79305133348143,"[0.020474938968661982, 0.03886734771228009, 0.06258337546276742, 0.03766492018708095, -0.013291039750403681, 0.07014930912737188, 0.004899127221176691, -0.1558256391092116, 0.2419238851201861, -0.21491411725228773, -0.16044821467107312, 1.1743588353310805]","[1820.2511929111934, 1775.0609505091647, 1502.0664322317123, 1698.0295504436517, 1532.8953885312258, 1324.1797945113522, 1246.0388709086108, 1086.8313985809234, 1124.4833899796909, 1038.120753866918, 1015.341482488223, 1012.1380623522798, 971.9119626809771, 978.9443532269554, 1110.5747238557008, 1157.8344396113594, 1062.7527257770275]"
"(7, 6)",218.84351120597748,"[-0.013492892441585025, 0.023116064149811766, 0.03883943815044583, 0.062460517956570066, 0.03831006943487443, -0.014127096683314019, 0.06659206772684412, 0.006666213045249975, -0.1519413023321568, 0.2490368081006017, -0.22079105165199686, -0.1701449631686502, 1.1842375567912637]","[1828.135840702077, 1780.3134717580956, 1506.5905512370525, 1702.306742014511, 1533.997094037356, 1325.4148932833555, 1248.0275099083078, 1058.9834669892753, 1132.3445923359093, 1036.3372162217818, 1021.3231081275935, 1018.5974820644165, 976.0111747102064, 985.8331057816496, 1102.966301200216, 1162.6152762607917, 1068.8850109807402]"
"(7, 7)",218.24926157444713,"[0.006756565300371794, -0.014774688481820876, 0.0227728713754238, 0.0390415108190345, 0.06191527837343783, 0.038365651433545325, -0.013618200632328773, 0.06825766127340202, 0.004265687237584498, -0.15649967609818144, 0.2535948235724419, -0.21707906381038966, -0.1759894156603541, 1.185364183692032]","[1823.32113858716, 1776.4043201485679, 1504.6035725799125, 1698.5502426719295, 1531.7203562704926, 1324.5246682451752, 1246.6048992614083, 1058.196610925354, 1145.8822507231737, 1033.1290448563655, 1021.5829090104058, 1015.2895998913442, 973.0536631541001, 983.3923737887142, 1099.597409823666, 1166.60786828098, 1066.263335028249]"
"(M, N)",Least RMSE %,[Coefficients],[Week numbers],[Actual values],[Predicetd values],intercept
"(4, 5)",0.208143403034381,"[0.029128032569348025, 0.04241466247806934, 0.05800529461349688, 0.043804034655733806, -0.016473799868640525, 0.11033638407801016, -0.17594108387973545, -0.1516338185801316, 1.1641464755517754]","[17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]","[1.752, 1.787, 1.715, 1.685, 1.619, 1.543, 1.32, 1.201, 1.024, 1.065, 0.95, 0.856, 0.751, 0.724, 0.79, 0.789, 1.051, 1.105, 1.072, 0.904]","[1.763852117821702, 1.8994015835536369, 1.921339210675246, 1.8251430941704858, 1.745102053960811, 1.494564285008685, 1.7209040078601796, 1.5194684677989223, 1.35275622478351, 1.231811088014124, 1.0895534303337635, 1.1260979384940897, 1.0251054936647852, 1.017877484528199, 1.0001697059765817, 0.9820482738137742, 0.9970477626098594, 1.1119476389520142, 1.1566300043528304, 1.0763261538056794]",507.57976550995113
